asset_group_id,item,useful_year,useful_year_id
2,"鉄骨鉄筋コンクリート造又は鉄筋コンクリート造のもの,事務所用又は美術館用のもの及び左記以外のもの,,,,,",50,49
2,"鉄骨鉄筋コンクリート造又は鉄筋コンクリート造のもの,住宅用、寄宿舎用、宿泊所用、学校用又は体育館用のもの,,,,,",47,46
2,"鉄骨鉄筋コンクリート造又は鉄筋コンクリート造のもの,飲食店用、貸席用、劇場用、演奏場用、映画館用又は舞踏場用のもの,,,,,",,-1
2,"鉄骨鉄筋コンクリート造又は鉄筋コンクリート造のもの,飲食店用、貸席用、劇場用、演奏場用、映画館用又は舞踏場用のもの,飲食店用又は貸席用のもので、延べ面積のうちに占める木造内装部分の面積が三割を超えるもの,,,,",34,33
2,"鉄骨鉄筋コンクリート造又は鉄筋コンクリート造のもの,飲食店用、貸席用、劇場用、演奏場用、映画館用又は舞踏場用のもの,その他のもの,,,,",41,40
2,"鉄骨鉄筋コンクリート造又は鉄筋コンクリート造のもの,旅館用又はホテル用のもの,,,,,",,-1
2,"鉄骨鉄筋コンクリート造又は鉄筋コンクリート造のもの,旅館用又はホテル用のもの,延べ面積のうちに占める木造内装部分の面積が三割を超えるもの,,,,",31,30
2,"鉄骨鉄筋コンクリート造又は鉄筋コンクリート造のもの,旅館用又はホテル用のもの,その他のもの,,,,",39,38
2,"鉄骨鉄筋コンクリート造又は鉄筋コンクリート造のもの,店舗用のもの,,,,,",39,38
2,"鉄骨鉄筋コンクリート造又は鉄筋コンクリート造のもの,病院用のもの,,,,,",39,38
2,"鉄骨鉄筋コンクリート造又は鉄筋コンクリート造のもの,変電所用、発電所用、送受信所用、停車場用、車庫用、格納庫用、荷扱所用、映画製作ステージ用、屋内スケート場用、魚市場用又はと畜場用のもの,,,,,",38,37
2,"鉄骨鉄筋コンクリート造又は鉄筋コンクリート造のもの,公衆浴場用のもの,,,,,",31,30
2,"鉄骨鉄筋コンクリート造又は鉄筋コンクリート造のもの,工場（作業場を含む。）用又は倉庫用のもの,,,,,",,-1
2,"鉄骨鉄筋コンクリート造又は鉄筋コンクリート造のもの,工場（作業場を含む。）用又は倉庫用のもの,塩素、塩酸、硫酸、硝酸その他の著しい腐食性を有する液体又は気体の影響を直接全面的に受けるもの、冷蔵倉庫用のもの（倉庫事業の倉庫用のものを除く。）及び放射性同位元素の放射線を直接受けるもの,,,,",24,23
2,"鉄骨鉄筋コンクリート造又は鉄筋コンクリート造のもの,工場（作業場を含む。）用又は倉庫用のもの,塩、チリ硝石その他の著しい潮解性を有する固体を常時蔵置するためのもの及び著しい蒸気の影響を直接全面的に受けるもの,,,,",31,30
2,"鉄骨鉄筋コンクリート造又は鉄筋コンクリート造のもの,工場（作業場を含む。）用又は倉庫用のもの,その他のもの,,,,",,-1
2,"鉄骨鉄筋コンクリート造又は鉄筋コンクリート造のもの,工場（作業場を含む。）用又は倉庫用のもの,その他のもの,倉庫事業の倉庫用のもの,,,",,-1
2,"鉄骨鉄筋コンクリート造又は鉄筋コンクリート造のもの,工場（作業場を含む。）用又は倉庫用のもの,その他のもの,倉庫事業の倉庫用のもの,冷蔵倉庫用のもの,,",21,20
2,"鉄骨鉄筋コンクリート造又は鉄筋コンクリート造のもの,工場（作業場を含む。）用又は倉庫用のもの,その他のもの,倉庫事業の倉庫用のもの,その他のもの,,",31,30
2,"鉄骨鉄筋コンクリート造又は鉄筋コンクリート造のもの,工場（作業場を含む。）用又は倉庫用のもの,その他のもの,その他のもの,,,",38,37
2,"れんが造、石造又はブロック造のもの,事務所用又は美術館用のもの及び左記以外のもの,,,,,",41,40
2,"れんが造、石造又はブロック造のもの,店舗用、住宅用、寄宿舎用、宿泊所用、学校用又は体育館用のもの,,,,,",38,37
2,"れんが造、石造又はブロック造のもの,飲食店用、貸席用、劇場用、演奏場用、映画館用又は舞踏場用のもの,,,,,",38,37
2,"れんが造、石造又はブロック造のもの,旅館用、ホテル用又は病院用のもの,,,,,",36,35
2,"れんが造、石造又はブロック造のもの,変電所用、発電所用、送受信所用、停車場用、車庫用、格納庫用、荷扱所用、映画製作ステージ用、屋内スケート場用、魚市場用又はと畜場用のもの,,,,,",34,33
2,"れんが造、石造又はブロック造のもの,公衆浴場用のもの,,,,,",30,29
2,"れんが造、石造又はブロック造のもの,工場（作業場を含む。）用又は倉庫用のもの,,,,,",,-1
2,"れんが造、石造又はブロック造のもの,工場（作業場を含む。）用又は倉庫用のもの,塩素、塩酸、硫酸、硝酸その他の著しい腐食性を有する液体又は気体の影響を直接全面的に受けるもの及び冷蔵倉庫用のもの（倉庫事業の倉庫用のものを除く。）,,,,",22,21
2,"れんが造、石造又はブロック造のもの,工場（作業場を含む。）用又は倉庫用のもの,塩、チリ硝石その他の著しい潮解性を有する固体を常時蔵置するためのもの及び著しい蒸気の影響を直接全面的に受けるもの,,,,",28,27
2,"れんが造、石造又はブロック造のもの,工場（作業場を含む。）用又は倉庫用のもの,その他のもの,,,,",,-1
2,"れんが造、石造又はブロック造のもの,工場（作業場を含む。）用又は倉庫用のもの,その他のもの,倉庫事業の倉庫用のもの,,,",,-1
2,"れんが造、石造又はブロック造のもの,工場（作業場を含む。）用又は倉庫用のもの,その他のもの,倉庫事業の倉庫用のもの,冷蔵倉庫用のもの,,",20,19
2,"れんが造、石造又はブロック造のもの,工場（作業場を含む。）用又は倉庫用のもの,その他のもの,倉庫事業の倉庫用のもの,その他のもの,,",30,29
2,"れんが造、石造又はブロック造のもの,工場（作業場を含む。）用又は倉庫用のもの,その他のもの,その他のもの,,,",34,33
2,"金属造のもの（骨格材の肉厚が四ミリメートルを超えるものに限る。）,事務所用又は美術館用のもの及び左記以外のもの,,,,,",38,37
2,"金属造のもの（骨格材の肉厚が四ミリメートルを超えるものに限る。）,店舗用、住宅用、寄宿舎用、宿泊所用、学校用又は体育館用のもの,,,,,",34,33
2,"金属造のもの（骨格材の肉厚が四ミリメートルを超えるものに限る。）,飲食店用、貸席用、劇場用、演奏場用、映画館用又は舞踏場用のもの,,,,,",31,30
2,"金属造のもの（骨格材の肉厚が四ミリメートルを超えるものに限る。）,変電所用、発電所用、送受信所用、停車場用、車庫用、格納庫用、荷扱所用、映画製作ステージ用、屋内スケート場用、魚市場用又はと畜場用のもの,,,,,",31,30
2,"金属造のもの（骨格材の肉厚が四ミリメートルを超えるものに限る。）,旅館用、ホテル用又は病院用のもの,,,,,",29,28
2,"金属造のもの（骨格材の肉厚が四ミリメートルを超えるものに限る。）,公衆浴場用のもの,,,,,",27,26
2,"金属造のもの（骨格材の肉厚が四ミリメートルを超えるものに限る。）,工場（作業場を含む。）用又は倉庫用のもの,,,,,",,-1
2,"金属造のもの（骨格材の肉厚が四ミリメートルを超えるものに限る。）,工場（作業場を含む。）用又は倉庫用のもの,塩素、塩酸、硫酸、硝酸その他の著しい腐食性を有する液体又は気体の影響を直接全面的に受けるもの、冷蔵倉庫用のもの（倉庫事業の倉庫用のものを除く。）及び放射性同位元素の放射線を直接受けるもの,,,,",20,19
2,"金属造のもの（骨格材の肉厚が四ミリメートルを超えるものに限る。）,工場（作業場を含む。）用又は倉庫用のもの,塩、チリ硝石その他の著しい潮解性を有する固体を常時蔵置するためのもの及び著しい蒸気の影響を直接全面的に受けるもの,,,,",25,24
2,"金属造のもの（骨格材の肉厚が四ミリメートルを超えるものに限る。）,工場（作業場を含む。）用又は倉庫用のもの,その他のもの,,,,",,-1
2,"金属造のもの（骨格材の肉厚が四ミリメートルを超えるものに限る。）,工場（作業場を含む。）用又は倉庫用のもの,その他のもの,倉庫事業の倉庫用のもの,,,",,-1
2,"金属造のもの（骨格材の肉厚が四ミリメートルを超えるものに限る。）,工場（作業場を含む。）用又は倉庫用のもの,その他のもの,倉庫事業の倉庫用のもの,冷蔵倉庫用のもの,,",19,18
2,"金属造のもの（骨格材の肉厚が四ミリメートルを超えるものに限る。）,工場（作業場を含む。）用又は倉庫用のもの,その他のもの,倉庫事業の倉庫用のもの,その他のもの,,",26,25
2,"金属造のもの（骨格材の肉厚が四ミリメートルを超えるものに限る。）,工場（作業場を含む。）用又は倉庫用のもの,その他のもの,その他のもの,,,",31,30
2,"金属造のもの（骨格材の肉厚が三ミリメートルを超え四ミリメートル以下のものに限る。）,事務所用又は美術館用のもの及び左記以外のもの,,,,,",30,29
2,"金属造のもの（骨格材の肉厚が三ミリメートルを超え四ミリメートル以下のものに限る。）,店舗用、住宅用、寄宿舎用、宿泊所用、学校用又は体育館用のもの,,,,,",27,26
2,"金属造のもの（骨格材の肉厚が三ミリメートルを超え四ミリメートル以下のものに限る。）,飲食店用、貸席用、劇場用、演奏場用、映画館用又は舞踏場用のもの,,,,,",25,24
2,"金属造のもの（骨格材の肉厚が三ミリメートルを超え四ミリメートル以下のものに限る。）,変電所用、発電所用、送受信所用、停車場用、車庫用、格納庫用、荷扱所用、映画製作ステージ用、屋内スケート場用、魚市場用又はと畜場用のもの,,,,,",25,24
2,"金属造のもの（骨格材の肉厚が三ミリメートルを超え四ミリメートル以下のものに限る。）,旅館用、ホテル用又は病院用のもの,,,,,",24,23
2,"金属造のもの（骨格材の肉厚が三ミリメートルを超え四ミリメートル以下のものに限る。）,公衆浴場用のもの,,,,,",19,18
2,"金属造のもの（骨格材の肉厚が三ミリメートルを超え四ミリメートル以下のものに限る。）,工場（作業場を含む。）用又は倉庫用のもの,,,,,",,-1
2,"金属造のもの（骨格材の肉厚が三ミリメートルを超え四ミリメートル以下のものに限る。）,工場（作業場を含む。）用又は倉庫用のもの,塩素、塩酸、硫酸、硝酸その他の著しい腐食性を有する液体又は気体の影響を直接全面的に受けるもの及び冷蔵倉庫用のもの,,,,",15,14
2,"金属造のもの（骨格材の肉厚が三ミリメートルを超え四ミリメートル以下のものに限る。）,工場（作業場を含む。）用又は倉庫用のもの,塩、チリ硝石その他の著しい潮解性を有する固体を常時蔵置するためのもの及び著しい蒸気の影響を直接全面的に受けるもの,,,,",19,18
2,"金属造のもの（骨格材の肉厚が三ミリメートルを超え四ミリメートル以下のものに限る。）,工場（作業場を含む。）用又は倉庫用のもの,その他のもの,,,,",24,23
2,"金属造のもの（骨格材の肉厚が三ミリメートル以下のものに限る。）,事務所用又は美術館用のもの及び左記以外のもの,,,,,",22,21
2,"金属造のもの（骨格材の肉厚が三ミリメートル以下のものに限る。）,店舗用、住宅用、寄宿舎用、宿泊所用、学校用又は体育館用のもの,,,,,",19,18
2,"金属造のもの（骨格材の肉厚が三ミリメートル以下のものに限る。）,飲食店用、貸席用、劇場用、演奏場用、映画館用又は舞踏場用のもの,,,,,",19,18
2,"金属造のもの（骨格材の肉厚が三ミリメートル以下のものに限る。）,変電所用、発電所用、送受信所用、停車場用、車庫用、格納庫用、荷扱所用、映画製作ステージ用、屋内スケート場用、魚市場用又はと畜場用のもの,,,,,",19,18
2,"金属造のもの（骨格材の肉厚が三ミリメートル以下のものに限る。）,旅館用、ホテル用又は病院用のもの,,,,,",17,16
2,"金属造のもの（骨格材の肉厚が三ミリメートル以下のものに限る。）,公衆浴場用のもの,,,,,",15,14
2,"金属造のもの（骨格材の肉厚が三ミリメートル以下のものに限る。）,工場（作業場を含む。）用又は倉庫用のもの,,,,,",,-1
2,"金属造のもの（骨格材の肉厚が三ミリメートル以下のものに限る。）,工場（作業場を含む。）用又は倉庫用のもの,塩素、塩酸、硫酸、硝酸その他の著しい腐食性を有する液体又は気体の影響を直接全面的に受けるもの及び冷蔵倉庫用のもの,,,,",12,11
2,"金属造のもの（骨格材の肉厚が三ミリメートル以下のものに限る。）,工場（作業場を含む。）用又は倉庫用のもの,塩、チリ硝石その他の著しい潮解性を有する固体を常時蔵置するためのもの及び著しい蒸気の影響を直接全面的に受けるもの,,,,",14,13
2,"金属造のもの（骨格材の肉厚が三ミリメートル以下のものに限る。）,工場（作業場を含む。）用又は倉庫用のもの,その他のもの,,,,",17,16
2,"木造又は合成樹脂造のもの,事務所用又は美術館用のもの及び左記以外のもの,,,,,",24,23
2,"木造又は合成樹脂造のもの,店舗用、住宅用、寄宿舎用、宿泊所用、学校用又は体育館用のもの,,,,,",22,21
2,"木造又は合成樹脂造のもの,飲食店用、貸席用、劇場用、演奏場用、映画館用又は舞踏場用のもの,,,,,",20,19
2,"木造又は合成樹脂造のもの,変電所用、発電所用、送受信所用、停車場用、車庫用、格納庫用、荷扱所用、映画製作ステージ用、屋内スケート場用、魚市場用又はと畜場用のもの,,,,,",17,16
2,"木造又は合成樹脂造のもの,旅館用、ホテル用又は病院用のもの,,,,,",17,16
2,"木造又は合成樹脂造のもの,公衆浴場用のもの,,,,,",12,11
2,"木造又は合成樹脂造のもの,工場（作業場を含む。）用又は倉庫用のもの,,,,,",,-1
2,"木造又は合成樹脂造のもの,工場（作業場を含む。）用又は倉庫用のもの,塩素、塩酸、硫酸、硝酸その他の著しい腐食性を有する液体又は気体の影響を直接全面的に受けるもの及び冷蔵倉庫用のもの,,,,",9,8
2,"木造又は合成樹脂造のもの,工場（作業場を含む。）用又は倉庫用のもの,塩、チリ硝石その他の著しい潮解性を有する固体を常時蔵置するためのもの及び著しい蒸気の影響を直接全面的に受けるもの,,,,",11,10
2,"木造又は合成樹脂造のもの,工場（作業場を含む。）用又は倉庫用のもの,その他のもの,,,,",15,14
2,"木骨モルタル造のもの,事務所用又は美術館用のもの及び左記以外のもの,,,,,",22,21
2,"木骨モルタル造のもの,店舗用、住宅用、寄宿舎用、宿泊所用、学校用又は体育館用のもの,,,,,",20,19
2,"木骨モルタル造のもの,飲食店用、貸席用、劇場用、演奏場用、映画館用又は舞踏場用のもの,,,,,",19,18
2,"木骨モルタル造のもの,変電所用、発電所用、送受信所用、停車場用、車庫用、格納庫用、荷扱所用、映画製作ステージ用、屋内スケート場用、魚市場用又はと畜場用のもの,,,,,",15,14
2,"木骨モルタル造のもの,旅館用、ホテル用又は病院用のもの,,,,,",15,14
2,"木骨モルタル造のもの,公衆浴場用のもの,,,,,",11,10
2,"木骨モルタル造のもの,工場（作業場を含む。）用又は倉庫用のもの,,,,,",,-1
2,"木骨モルタル造のもの,工場（作業場を含む。）用又は倉庫用のもの,塩素、塩酸、硫酸、硝酸その他の著しい腐食性を有する液体又は気体の影響を直接全面的に受けるもの及び冷蔵倉庫用のもの,,,,",7,6
2,"木骨モルタル造のもの,工場（作業場を含む。）用又は倉庫用のもの,塩、チリ硝石その他の著しい潮解性を有する固体を常時蔵置するためのもの及び著しい蒸気の影響を直接全面的に受けるもの,,,,",10,9
2,"木骨モルタル造のもの,工場（作業場を含む。）用又は倉庫用のもの,その他のもの,,,,",14,13
2,"簡易建物,木製主要柱が十センチメートル角以下のもので、土居ぶき、杉皮ぶき、ルーフイングぶき又はトタンぶきのもの,,,,,",10,9
2,"簡易建物,掘立造のもの及び仮設のもの,,,,,",7,6
3,"電気設備（照明設備を含む。）,蓄電池電源設備,,,,,",6,5
3,"電気設備（照明設備を含む。）,その他のもの,,,,,",15,14
3,"給排水又は衛生設備及びガス設備,,,,,,",15,14
3,"冷房、暖房、通風又はボイラー設備,冷暖房設備（冷凍機の出力が二十二キロワット以下のもの）,,,,,",13,12
3,"冷房、暖房、通風又はボイラー設備,その他のもの,,,,,",15,14
3,"昇降機設備,エレベーター,,,,,",17,16
3,"昇降機設備,エスカレーター,,,,,",15,14
3,"消火、排煙又は災害報知設備及び格納式避難設備,,,,,,",8,7
3,"エヤーカーテン又はドアー自動開閉設備,,,,,,",12,11
3,"アーケード又は日よけ設備,主として金属製のもの,,,,,",15,14
3,"アーケード又は日よけ設備,その他のもの,,,,,",8,7
3,"店用簡易装備,,,,,,",3,2
3,"可動間仕切り,簡易なもの,,,,,",3,2
3,"可動間仕切り,その他のもの,,,,,",15,14
3,"前掲のもの以外のもの及び前掲の区分によらないもの,主として金属製のもの,,,,,",18,17
3,"前掲のもの以外のもの及び前掲の区分によらないもの,その他のもの,,,,,",10,9
4,"鉄道業用又は軌道業用のもの,軌条及びその附属品,,,,,",20,19
4,"鉄道業用又は軌道業用のもの,まくら木,,,,,",,-1
4,"鉄道業用又は軌道業用のもの,まくら木,木製のもの,,,,",8,7
4,"鉄道業用又は軌道業用のもの,まくら木,コンクリート製のもの,,,,",20,19
4,"鉄道業用又は軌道業用のもの,まくら木,金属製のもの,,,,",20,19
4,"鉄道業用又は軌道業用のもの,まくら木,分岐器,,,,",15,14
4,"鉄道業用又は軌道業用のもの,まくら木,通信線、信号線及び電灯電力線,,,,",30,29
4,"鉄道業用又は軌道業用のもの,まくら木,信号機,,,,",30,29
4,"鉄道業用又は軌道業用のもの,まくら木,送配電線及びき電線,,,,",40,39
4,"鉄道業用又は軌道業用のもの,まくら木,電車線及び第三軌条,,,,",20,19
4,"鉄道業用又は軌道業用のもの,まくら木,帰線ボンド,,,,",5,4
4,"鉄道業用又は軌道業用のもの,まくら木,電線支持物（電柱及び腕木を除く。）,,,,",30,29
4,"鉄道業用又は軌道業用のもの,まくら木,木柱及び木塔（腕木を含む。）,,,,",,-1
4,"鉄道業用又は軌道業用のもの,まくら木,木柱及び木塔（腕木を含む。）,架空索道用のもの,,,",15,14
4,"鉄道業用又は軌道業用のもの,まくら木,木柱及び木塔（腕木を含む。）,その他のもの,,,",25,24
4,"鉄道業用又は軌道業用のもの,前掲以外のもの,,,,,",,-1
4,"鉄道業用又は軌道業用のもの,前掲以外のもの,線路設備,,,,",,-1
4,"鉄道業用又は軌道業用のもの,前掲以外のもの,線路設備,軌道設備,,,",,-1
4,"鉄道業用又は軌道業用のもの,前掲以外のもの,線路設備,軌道設備,道床,,",60,59
4,"鉄道業用又は軌道業用のもの,前掲以外のもの,線路設備,軌道設備,その他のもの,,",16,15
4,"鉄道業用又は軌道業用のもの,土工設備,,,,,",57,56
4,"鉄道業用又は軌道業用のもの,橋りよう,,,,,",,-1
4,"鉄道業用又は軌道業用のもの,橋りよう,鉄筋コンクリート造のもの,,,,",50,49
4,"鉄道業用又は軌道業用のもの,橋りよう,鉄骨造のもの,,,,",40,39
4,"鉄道業用又は軌道業用のもの,橋りよう,その他のもの,,,,",15,14
4,"鉄道業用又は軌道業用のもの,トンネル,,,,,",,-1
4,"鉄道業用又は軌道業用のもの,トンネル,鉄筋コンクリート造のもの,,,,",60,59
