耐用年数,旧定額法,旧定率法,新定額法,250%償却率,250%改定償却率,250%保証率,200%償却率,200%改定償却率,200%保証率
2,0.5,0.684,0.5,1,,,1,,
3,0.333,0.536,0.334,0.833,1,0.02789,0.667,1,0.11089
4,0.25,0.438,0.25,0.625,1,0.05274,0.5,1,0.12499
5,0.2,0.369,0.2,0.5,1,0.06249,0.4,0.5,0.108
6,0.166,0.319,0.167,0.417,0.5,0.05776,0.333,0.334,0.09911
7,0.142,0.28,0.143,0.357,0.5,0.05496,0.286,0.334,0.0868
8,0.125,0.25,0.125,0.313,0.334,0.05111,0.25,0.334,0.07909
9,0.111,0.226,0.112,0.278,0.334,0.04731,0.222,0.25,0.07126
10,0.1,0.206,0.1,0.25,0.334,0.04448,0.2,0.25,0.06552
11,0.09,0.189,0.091,0.227,0.25,0.04123,0.182,0.2,0.05992
12,0.083,0.175,0.084,0.208,0.25,0.0387,0.167,0.2,0.05566
13,0.076,0.162,0.077,0.192,0.2,0.03633,0.154,0.167,0.0518
14,0.071,0.152,0.072,0.179,0.2,0.03389,0.143,0.167,0.04854
15,0.066,0.142,0.067,0.167,0.2,0.03217,0.133,0.143,0.04565
16,0.062,0.134,0.063,0.156,0.167,0.03063,0.125,0.143,0.04294
17,0.058,0.127,0.059,0.147,0.167,0.02905,0.118,0.125,0.04038
18,0.055,0.12,0.056,0.139,0.143,0.02757,0.111,0.112,0.03884
19,0.052,0.114,0.053,0.132,0.143,0.02616,0.105,0.112,0.03693
20,0.05,0.109,0.05,0.125,0.143,0.02517,0.1,0.112,0.03486
21,0.048,0.104,0.048,0.119,0.125,0.02408,0.095,0.1,0.03335
22,0.046,0.099,0.046,0.114,0.125,0.02296,0.091,0.1,0.03182
23,0.044,0.095,0.044,0.109,0.112,0.02226,0.087,0.091,0.03052
24,0.042,0.092,0.042,0.104,0.112,0.02157,0.083,0.084,0.02969
25,0.04,0.088,0.04,0.1,0.112,0.02058,0.08,0.084,0.02841
26,0.039,0.085,0.039,0.096,0.1,0.01989,0.077,0.084,0.02716
27,0.037,0.082,0.038,0.093,0.1,0.01902,0.074,0.077,0.02624
28,0.036,0.079,0.036,0.089,0.091,0.01866,0.071,0.072,0.02568
29,0.035,0.076,0.035,0.086,0.091,0.01803,0.069,0.072,0.02463
30,0.034,0.074,0.034,0.083,0.084,0.01766,0.067,0.072,0.02366
31,0.033,0.072,0.033,0.081,0.084,0.01688,0.065,0.067,0.02286
32,0.032,0.069,0.032,0.078,0.084,0.01655,0.063,0.067,0.02216
33,0.031,0.067,0.031,0.076,0.077,0.01585,0.061,0.063,0.02161
34,0.03,0.066,0.03,0.074,0.077,0.01532,0.059,0.063,0.02097
35,0.029,0.064,0.029,0.071,0.072,0.01532,0.057,0.059,0.02051
36,0.028,0.062,0.028,0.069,0.072,0.01494,0.056,0.059,0.01974
37,0.027,0.06,0.028,0.068,0.072,0.01425,0.054,0.056,0.0195
38,0.027,0.059,0.027,0.066,0.067,0.01393,0.053,0.056,0.01882
39,0.026,0.057,0.026,0.064,0.067,0.0137,0.051,0.053,0.0186
40,0.025,0.056,0.025,0.063,0.067,0.01317,0.05,0.053,0.01791
41,0.025,0.055,0.025,0.061,0.063,0.01306,0.049,0.05,0.01741
42,0.024,0.053,0.024,0.06,0.063,0.01261,0.048,0.05,0.01694
43,0.024,0.052,0.024,0.058,0.059,0.01248,0.047,0.048,0.01664
44,0.023,0.051,0.023,0.057,0.059,0.0121,0.045,0.046,0.01664
45,0.023,0.05,0.023,0.056,0.059,0.01175,0.044,0.046,0.01634
46,0.022,0.049,0.022,0.054,0.056,0.01175,0.043,0.044,0.01601
47,0.022,0.048,0.022,0.053,0.056,0.01153,0.043,0.044,0.01532
48,0.021,0.047,0.021,0.052,0.053,0.01126,0.042,0.044,0.01499
49,0.021,0.046,0.021,0.051,0.053,0.01102,0.041,0.042,0.01475
50,0.02,0.045,0.02,0.05,0.053,0.01072,0.04,0.042,0.0144
51,0.02,0.044,0.02,0.049,0.05,0.01053,0.039,0.04,0.01422
52,0.02,0.043,0.02,0.048,0.05,0.01036,0.038,0.039,0.01422
53,0.019,0.043,0.019,0.047,0.048,0.01028,0.038,0.039,0.0137
54,0.019,0.042,0.019,0.046,0.048,0.01015,0.037,0.038,0.0137
55,0.019,0.041,0.019,0.045,0.046,0.01007,0.036,0.038,0.01337
56,0.018,0.04,0.018,0.045,0.046,0.00961,0.036,0.038,0.01288
57,0.018,0.04,0.018,0.044,0.046,0.00952,0.035,0.036,0.01281
58,0.018,0.039,0.018,0.043,0.044,0.00945,0.034,0.035,0.01281
59,0.017,0.038,0.017,0.042,0.044,0.00934,0.034,0.035,0.0124
60,0.017,0.038,0.017,0.042,0.044,0.00895,0.033,0.034,0.0124
61,0.017,0.037,0.017,0.041,0.042,0.00892,0.033,0.034,0.01201
62,0.017,0.036,0.017,0.04,0.042,0.00882,0.032,0.033,0.01201
63,0.016,0.036,0.016,0.04,0.042,0.00847,0.032,0.033,0.01165
64,0.016,0.035,0.016,0.039,0.04,0.00847,0.031,0.032,0.01165
65,0.016,0.035,0.016,0.038,0.039,0.00847,0.031,0.032,0.0113
66,0.016,0.034,0.016,0.038,0.039,0.00828,0.03,0.031,0.0113
